gpoi_type,lit_type,n,n_pois,thres_m,lit_per_poi,all_lit,lit_pc
gas_station,firework,5,16,20,0.31,178557,0
gas_station,bag,21,16,20,1.31,178557,0
gas_station,energydrink,10,16,20,0.62,178557,0
gas_station,beer,8,16,20,0.5,178557,0
gas_station,aluminum,9,16,20,0.56,178557,0
gas_station,knetterbal,2,16,20,0.12,178557,0
gas_station,redbull,8,16,20,0.5,178557,0
gas_station,cup,10,16,20,0.62,178557,0
gas_station,mcdonalds,10,16,20,0.62,178557,0
gas_station,drink,5,16,20,0.31,178557,0
gas_station,antaflu,6,16,20,0.38,178557,0
grocery_or_supermarket,all,1384,34,20,40.71,178557,0.8
grocery_or_supermarket,plastic,544,34,20,16,178557,0.3
grocery_or_supermarket,can,220,34,20,6.47,178557,0.1
grocery_or_supermarket,wrapper,173,34,20,5.09,178557,0.1
grocery_or_supermarket,paper,154,34,20,4.53,178557,0.1
grocery_or_supermarket,metal,209,34,20,6.15,178557,0.1
grocery_or_supermarket,cigarette,83,34,20,2.44,178557,0
grocery_or_supermarket,bottle,79,34,20,2.32,178557,0
grocery_or_supermarket,candy,73,34,20,2.15,178557,0
grocery_or_supermarket,piece,130,34,20,3.82,178557,0.1
grocery_or_supermarket,firework,55,34,20,1.62,178557,0
grocery_or_supermarket,bag,38,34,20,1.12,178557,0
grocery_or_supermarket,energydrink,102,34,20,3,178557,0.1
grocery_or_supermarket,beer,80,34,20,2.35,178557,0
grocery_or_supermarket,aluminum,15,34,20,0.44,178557,0
grocery_or_supermarket,knetterbal,38,34,20,1.12,178557,0
grocery_or_supermarket,redbull,52,34,20,1.53,178557,0
grocery_or_supermarket,cup,16,34,20,0.47,178557,0
grocery_or_supermarket,mcdonalds,20,34,20,0.59,178557,0
grocery_or_supermarket,drink,8,34,20,0.24,178557,0
grocery_or_supermarket,antaflu,37,34,20,1.09,178557,0
gym,all,253,14,20,18.07,178557,0.1
gym,plastic,156,14,20,11.14,178557,0.1
gym,can,18,14,20,1.29,178557,0
gym,wrapper,58,14,20,4.14,178557,0
gym,paper,42,14,20,3,178557,0
gym,metal,19,14,20,1.36,178557,0
gym,cigarette,16,14,20,1.14,178557,0
gym,bottle,10,14,20,0.71,178557,0
gym,candy,30,14,20,2.14,178557,0
gym,piece,31,14,20,2.21,178557,0
gym,firework,2,14,20,0.14,178557,0
gym,bag,28,14,20,2,178557,0
gym,energydrink,9,14,20,0.64,178557,0
gym,beer,5,14,20,0.36,178557,0
gym,aluminum,2,14,20,0.14,178557,0
gym,knetterbal,2,14,20,0.14,178557,0
gym,redbull,7,14,20,0.5,178557,0
gym,cup,2,14,20,0.14,178557,0
gym,mcdonalds,3,14,20,0.21,178557,0
gym,drink,1,14,20,0.07,178557,0
gym,antaflu,6,14,20,0.43,178557,0
home_goods_store,all,2592,219,20,11.84,178557,1.5
home_goods_store,plastic,1135,219,20,5.18,178557,0.6
home_goods_store,can,244,219,20,1.11,178557,0.1
home_goods_store,wrapper,367,219,20,1.68,178557,0.2
home_goods_store,paper,405,219,20,1.85,178557,0.2
home_goods_store,metal,230,219,20,1.05,178557,0.1
