Var1,Freq,pc
drpepper,220,0.01
eukalyptus,219,0.01
karton,217,0.01
packingpeanut,217,0.01
de Klok,216,0.01
desperado,215,0.01
bierblikje,213,0.01
floralys,213,0.01
plate,213,0.01
verpakkingsmateriaal,213,0.01
beker,211,0.01
newyorkpizza,211,0.01
celluloseaccetate,209,0.01
2019,208,0.01
energiedrank,205,0.01
king,205,0.01
boterham,204,0.01
cosmetics,204,0.01
ikea,202,0.01
mysteryland,202,0.01
brinky,201,0.01
Coca-Cola,201,0.01
energyfood,201,0.01
joint,201,0.01
maltesers,201,0.01
refund,201,0.01
ring,200,0.01
smarties,199,0.01
trainticket,198,0.01
aansteker,197,0.01
drinkkarton,197,0.01
hollandia,197,0.01
polyurethane,197,0.01
zev,197,0.01
bikelamp,196,0.01
hygiene,196,0.01
koffiebeker,196,0.01
tictac,196,0.01
decoration,195,0.01
lachgaspatroon,195,0.01
keizerskroon,194,0.01
paraffine,194,0.01
plastic cup,193,0.01
van nelle,192,0.01
balisto,191,0.01
colacan,191,0.01
hoppe,191,0.01
lollystick,191,0.01
douwe egberts,190,0.01
energiedrinkcan,190,0.01
86,189,0.01
broddelwerk,189,0.01
kauwgom,188,0.01
raak,187,0.01
first choice,186,0.01
gazeuse,185,0.01
knife,185,0.01
pot,185,0.01
cigarettepackage,184,0.01
touw,184,0.01
lavazza,183,0.01
lolly,182,0.01
nitrousoxide,182,0.01
wietzakje,182,0.01
energygel,181,0.01
sigarettes,181,0.01
hlr4,181,0.01
roshen,180,0.01
grofgeweldinname,179,0.01
handkerchiefs,179,0.01
L&M,179,0.01
purmerend,179,0.01
scheiding,179,0.01
tin can,179,0.01
null,179,0.01
enerydrink,178,0.01
crystalclear,177,0.01
luckies,177,0.01
barleduc,176,0.01
vicks,176,0.01
tyskie,175,0.01
8.6,174,0.01
drinkcan,174,0.01
smoeltjes,174,0.01
netting,173,0.01
tennisball,172,0.01
research,172,0.01
zakje,171,0.01
onkruidborstel,170,0.01
pvc,170,0.01
rockets,170,0.01
drtoms,169,0.01
translink,169,0.01
cigaret,168,0.01
nuts,168,0.01
calippo,166,0.01
aluminiumfoil,165,0.01
capsule,165,0.01
lawnmoweraccident,165,0.01
malibu,164,0.01
douwe,163,0.01
junkfood,163,0.01
illy,162,0.01
riverlitter,162,0.01
zip,162,0.01
mcnuggets,161,0.01
red band,161,0.01
Kernspark,160,0.01
note,160,0.01
TO,160,0.01
zubr,160,0.01
drinks,159,0.01
folder,159,0.01
lolliestokje,159,0.01
money,159,0.01
banana,158,0.01
dove,158,0.01
balconi,157,0.01
festivalderaa,157,0.01
iron,157,0.01
bushbossyes,157,0.01
gelatelli,156,0.01
icespoon,156,0.01
vanmelle,156,0.01
0 LC,156,0.01
cookies,155,0.01
fruitdrink,155,0.01
glas,155,0.01
polyesterband,155,0.01
bosbaasyes,154,0.01
takeaway,153,0.01
deksel,152,0.01
drinkpackage,152,0.01
samenmetkylian,152,0.01
ReturnToStientje,151,0.01
unidentified,151,0.01
wattenstaafje,151,0.01
cigarettepack wrapper,151,0.01
broodclip,150,0.01
cigarettefoil,150,0.01
wetwipe,150,0.01
yoghurt,150,0.01
alluminium,149,0.01
disposable,149,0.01
fragment,149,0.01
stopstart,149,0.01
sweet,149,0.01
timeout,149,0.01
klene,148,0.01
pepermint,148,0.01
pittbier,148,0.01
axe,147,0.01
bbq,147,0.01
rivella,147,0.01
sonnema,147,0.01
yakult,147,0.01
dirk,146,0.01
pickwick,146,0.01
compaxo,145,0.01
screw,145,0.01
hawai,144,0.01
mandms,144,0.01
agricultural plastic,142,0.01
bandaid,142,0.01
doekje,142,0.01
light,142,0.01
evian,141,0.01
jar,141,0.01
jawbreaker,141,0.01
schoonmaakdoekjes,141,0.01
winston,141,0.01
verpakking sigaret,141,0.01
ducttape,140,0.01
vodka,140,0.01
fruit drink,140,0.01
fishermansfriend,139,0.01
nescafe,139,0.01
schweppes,139,0.01
warsteiner,139,0.01
aluminiumfolie,138,0.01
handschoen,138,0.01
total,138,0.01
visdraad,138,0.01
leaflet,137,0.01
lollystokje,137,0.01
Plastic bottle,137,0.01
energydrank,136,0.01
plastic cap,136,0.01
plastic zegel transportbedrijf,136,0.01
stuk,136,0.01
textiel,136,0.01
fail,135,0.01
tuc,135,0.01
whipe,135,0.01
vrijeschool,134,0.01
bucket,133,0.01
claro,133,0.01
dubbelfriss,133,0.01
hairband,133,0.01
writing,133,0.01
5,132,0.01
gambling,132,0.01
o2,132,0.01
royalclub,132,0.01
2020,131,0.01
cassis,131,0.01
lavish,131,0.01
mountaindew,131,0.01
blue bastard,130,0.01
koekverpakking,130,0.01
rjd3,130,0.01
verpakking,130,0.01
vitafit,130,0.01
lech,129,0.01
